"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"AM_DOWNSHIFT","LINK BASED","BAR_X0135_NE_2","3-ISV3","BAR_X0135_NE_2-BAR_G0476_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_R0781_NE_1","3-ISV3","CTG_R0781_NE_1-CTG_R0777_NE_1",""
"FAN_FAIL","NE BASED","BAR_G0324_NE_1","11-FAN","","BAR_G0324_NE_1"
"POWER_ABNORMAL","NE BASED","BAR_R0527_NE_1","5-PIU","","BAR_R0527_NE_1"
"FAN_FAIL","NE BASED","BAR_X0229_NE_1","11-FAN","","BAR_X0229_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_R2147_NE_1","9-PIU","","CTG_R2147_NE_1"
"FAN_FAIL","NE BASED","CTG_X0868_NE_1","11-FAN","","CTG_X0868_NE_1"
"FAN_FAIL","NE BASED","BAR_X0313_NE_1","11-FAN","","BAR_X0313_NE_1"
"AM_DOWNSHIFT","LINK BASED","RAJ_X0575_NE_1","6-ISV3","RAJ_X0575_NE_1-RAJ_G0989_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0039_NE_1","3-ISV3","BAR_X0039_NE_1-BAR_X0038_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","CTG_X0364_NE_1","LINK AGGREGATION GROUP:(1:Between 2 RTN)","","CTG_X0364_NE_1"
"BD_STATUS","BOTH (NE BASED)","BAR_R0314_NE_2","11-FAN","","BAR_R0314_NE_2"
"LAG_MEMBER_DOWN","NE BASED","BAR_X0202_NE_1","LINK AGGREGATION GROUP:(1:)","","BAR_X0202_NE_1"
"LAG_MEMBER_DOWN","NE BASED","BAR_X0202_NE_2","LINK AGGREGATION GROUP:(1:)","","BAR_X0202_NE_2"
"LAG_MEMBER_DOWN","NE BASED","DHK_X2829_NE_1","LINK AGGREGATION GROUP:(1:B2in two RTN)","","DHK_X2829_NE_1"
"LAG_MEMBER_DOWN","NE BASED","DHK_X2829_NE_2","LINK AGGREGATION GROUP:(1:B2in two RTN)","","DHK_X2829_NE_2"
"AM_DOWNSHIFT","LINK BASED","BAR_X0063_NE_1","5-ISV3","BAR_X0063_NE_1-CTG_G1291_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0099_NE_1","5-ISV3","BAR_X0099_NE_1-BAR_X0195_NE_1",""
"AM_DOWNSHIFT","LINK BASED","DHK_X0904_NE_1","12-ISV3","DHK_X0904_NE_1-DHK_X0905_NE_2",""
"AM_DOWNSHIFT","LINK BASED","CTG_X1076_NE_1","3-ISV3","CTG_X1076_NE_1-CTG_X0066_NE_1",""
"MW_LOF","LINK BASED","RAJ_X0408_NE_4","4-ISV3","RAJ_X0408_NE_4-RAJ_X1419_NE_5",""
"MW_LOF","LINK BASED","RAJ_X0094_NE_3","4-ISV3","RAJ_X0094_NE_3-RAJ_X0404_NE_2",""
"LAG_MEMBER_DOWN","NE BASED","DHK_X5526_NE_1","LINK AGGREGATION GROUP:(1:3G & 2G AoIP Interface -SCL)","","DHK_X5526_NE_1"
"MAC_EXT_EXC","LINK BASED","DHK_X5585_NE_1","8-EG6","DHK_X5585_NE_1-DHK_X5585_NE_2",""
"FAN_FAIL","NE BASED","KHU_X1080_NE_1","11-FAN","","KHU_X1080_NE_1"
"POWER_ABNORMAL","NE BASED","DHK_G5256_NE_1","5-PIU","","DHK_G5256_NE_1"
"MAC_EXT_EXC","LINK BASED","SYL_X0357_NE_1","5-ISV3","SYL_X0357_NE_1-SYL_X0257_NE_1",""
"MAC_FCS_EXC","LINK BASED","SYL_X0357_NE_1","5-ISV3","SYL_X0357_NE_1-SYL_X0257_NE_1",""
"BD_STATUS","BOTH (LINK BASED)","RAJ_X0650_NE_1","3-ISV3","RAJ_X0650_NE_1-RAJ_X0463_NE_1",""
"FAN_FAIL","NE BASED","DHK_R4250_NE_1","6-FAN","","DHK_R4250_NE_1"
"BD_STATUS","BOTH (LINK BASED)","RAJ_X0463_NE_1","5-ISV3","RAJ_X0463_NE_1-RAJ_X0650_NE_1",""
"BUS_ERR","BOTH (NE BASED)","CTG_X1368_NE_1","7-CSHO","","CTG_X1368_NE_1"
"MW_RDI","LINK BASED","RAJ_X1419_NE_5","3-ISV3","RAJ_X1419_NE_5-RAJ_X0408_NE_4",""
"BD_STATUS","BOTH (LINK BASED)","RAJ_X0244_NE_1","6-ISV3","RAJ_X0244_NE_1-RAJ_X0585_NE_1",""
"BUS_ERR","BOTH (NE BASED)","RAJ_X0269_NE_2","7-CSHO","","RAJ_X0269_NE_2"
"BD_STATUS","BOTH (LINK BASED)","RAJ_X0585_NE_1","5-ISV3","RAJ_X0585_NE_1-RAJ_X0244_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0058_NE_1","6-ISV3","BAR_X0058_NE_1-BAR_X0178_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0042_NE_1","3-ISV3","BAR_X0042_NE_1-BAR_X0020_NE_1",""
